REF_DATE,GEO,DGUID,Components of population growth,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,COORDINATE,VALUE
2019/2020,"All census metropolitan areas and census agglomerations, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,2.8.1.1,-939
2020/2021,"All census metropolitan areas and census agglomerations, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,2.8.1.1,-5119
2021/2022,"All census metropolitan areas and census agglomerations, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,2.8.1.1,-9807
2022/2023,"All census metropolitan areas and census agglomerations, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,2.8.1.1,-6321
2023/2024,"All census metropolitan areas and census agglomerations, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,2.8.1.1,-5368
2017/2018,"All census metropolitan areas and census agglomerations, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,2.9.1.1,-2586
2018/2019,"All census metropolitan areas and census agglomerations, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,2.9.1.1,-5558
2019/2020,"All census metropolitan areas and census agglomerations, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,2.9.1.1,-15155
2020/2021,"All census metropolitan areas and census agglomerations, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,2.9.1.1,-40871
2021/2022,"All census metropolitan areas and census agglomerations, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,2.9.1.1,-43744
2022/2023,"All census metropolitan areas and census agglomerations, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,2.9.1.1,-27852
2023/2024,"All census metropolitan areas and census agglomerations, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,2.9.1.1,-29445
2017/2018,"All census metropolitan areas and census agglomerations, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,2.10.1.1,156502
2018/2019,"All census metropolitan areas and census agglomerations, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,2.10.1.1,164219
2019/2020,"All census metropolitan areas and census agglomerations, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,2.10.1.1,76042
2020/2021,"All census metropolitan areas and census agglomerations, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,2.10.1.1,-53630
2021/2022,"All census metropolitan areas and census agglomerations, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,2.10.1.1,202249
2022/2023,"All census metropolitan areas and census agglomerations, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,2.10.1.1,688637
2023/2024,"All census metropolitan areas and census agglomerations, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,2.10.1.1,756414
2017/2018,"All census metropolitan areas and census agglomerations, Canada",,Residual deviation,Total - gender,All ages,Persons,249,units,0,2.11.1.1,-8614
2018/2019,"All census metropolitan areas and census agglomerations, Canada",,Residual deviation,Total - gender,All ages,Persons,249,units,0,2.11.1.1,-8162
2019/2020,"All census metropolitan areas and census agglomerations, Canada",,Residual deviation,Total - gender,All ages,Persons,249,units,0,2.11.1.1,-7660
2020/2021,"All census metropolitan areas and census agglomerations, Canada",,Residual deviation,Total - gender,All ages,Persons,249,units,0,2.11.1.1,-3100
2017/2018,"All census metropolitan areas, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,3.4.1.1,34490
2018/2019,"All census metropolitan areas, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,3.4.1.1,30329
2019/2020,"All census metropolitan areas, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,3.4.1.1,27593
2020/2021,"All census metropolitan areas, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,3.4.1.1,21606
2021/2022,"All census metropolitan areas, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,3.4.1.1,40257
2022/2023,"All census metropolitan areas, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,3.4.1.1,41472
2023/2024,"All census metropolitan areas, Canada",,Net emigration,Total - gender,All ages,Persons,249,units,0,3.4.1.1,42700
2017/2018,"All census metropolitan areas, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,3.6.1.1,51769
2018/2019,"All census metropolitan areas, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,3.6.1.1,51003
2019/2020,"All census metropolitan areas, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,3.6.1.1,40809
2020/2021,"All census metropolitan areas, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,3.6.1.1,36157
2021/2022,"All census metropolitan areas, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,3.6.1.1,46286
2022/2023,"All census metropolitan areas, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,3.6.1.1,47631
2023/2024,"All census metropolitan areas, Canada",,Returning emigrants,Total - gender,All ages,Persons,249,units,0,3.6.1.1,49031
2017/2018,"All census metropolitan areas, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,3.8.1.1,68
2018/2019,"All census metropolitan areas, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,3.8.1.1,67
2019/2020,"All census metropolitan areas, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,3.8.1.1,-995
2020/2021,"All census metropolitan areas, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,3.8.1.1,-6780
2021/2022,"All census metropolitan areas, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,3.8.1.1,-9925
2022/2023,"All census metropolitan areas, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,3.8.1.1,-6264
2023/2024,"All census metropolitan areas, Canada",,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,3.8.1.1,-3658
2017/2018,"All census metropolitan areas, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,3.9.1.1,-18515
2018/2019,"All census metropolitan areas, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,3.9.1.1,-20159
2019/2020,"All census metropolitan areas, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,3.9.1.1,-31291
2020/2021,"All census metropolitan areas, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,3.9.1.1,-63393
2021/2022,"All census metropolitan areas, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,3.9.1.1,-71649
2022/2023,"All census metropolitan areas, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,3.9.1.1,-47832
2023/2024,"All census metropolitan areas, Canada",,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,3.9.1.1,-50704
2017/2018,"All census metropolitan areas, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,3.10.1.1,148178
2018/2019,"All census metropolitan areas, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,3.10.1.1,153459
2019/2020,"All census metropolitan areas, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,3.10.1.1,72432
2020/2021,"All census metropolitan areas, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,3.10.1.1,-51933
2021/2022,"All census metropolitan areas, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,3.10.1.1,188905
2022/2023,"All census metropolitan areas, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,3.10.1.1,645881
2023/2024,"All census metropolitan areas, Canada",,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,3.10.1.1,712270
2017/2018,"All census metropolitan areas, Canada",,Residual deviation,Total - gender,All ages,Persons,249,units,0,3.11.1.1,-9178
2018/2019,"All census metropolitan areas, Canada",,Residual deviation,Total - gender,All ages,Persons,249,units,0,3.11.1.1,-9028
2019/2020,"All census metropolitan areas, Canada",,Residual deviation,Total - gender,All ages,Persons,249,units,0,3.11.1.1,-8570
2020/2021,"All census metropolitan areas, Canada",,Residual deviation,Total - gender,All ages,Persons,249,units,0,3.11.1.1,-13476
2017/2018,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net emigration,Total - gender,All ages,Persons,249,units,0,4.4.1.1,67
2018/2019,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net emigration,Total - gender,All ages,Persons,249,units,0,4.4.1.1,138
2019/2020,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net emigration,Total - gender,All ages,Persons,249,units,0,4.4.1.1,78
2020/2021,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net emigration,Total - gender,All ages,Persons,249,units,0,4.4.1.1,142
2021/2022,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net emigration,Total - gender,All ages,Persons,249,units,0,4.4.1.1,136
2022/2023,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net emigration,Total - gender,All ages,Persons,249,units,0,4.4.1.1,56
2023/2024,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net emigration,Total - gender,All ages,Persons,249,units,0,4.4.1.1,57
2017/2018,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Returning emigrants,Total - gender,All ages,Persons,249,units,0,4.6.1.1,126
2018/2019,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Returning emigrants,Total - gender,All ages,Persons,249,units,0,4.6.1.1,128
2019/2020,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Returning emigrants,Total - gender,All ages,Persons,249,units,0,4.6.1.1,105
2020/2021,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Returning emigrants,Total - gender,All ages,Persons,249,units,0,4.6.1.1,116
2021/2022,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Returning emigrants,Total - gender,All ages,Persons,249,units,0,4.6.1.1,136
2022/2023,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Returning emigrants,Total - gender,All ages,Persons,249,units,0,4.6.1.1,114
2023/2024,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Returning emigrants,Total - gender,All ages,Persons,249,units,0,4.6.1.1,115
2017/2018,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,4.8.1.1,-1781
2018/2019,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,4.8.1.1,-1594
2019/2020,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,4.8.1.1,-1521
2020/2021,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,4.8.1.1,-383
2021/2022,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,4.8.1.1,-73
2022/2023,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,4.8.1.1,-458
2023/2024,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,4.8.1.1,-603
2017/2018,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,4.9.1.1,900
2018/2019,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,4.9.1.1,898
2019/2020,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,4.9.1.1,1131
2020/2021,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,4.9.1.1,662
2021/2022,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,4.9.1.1,912
2022/2023,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,4.9.1.1,929
2023/2024,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,4.9.1.1,784
2017/2018,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,4.10.1.1,110
2018/2019,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,4.10.1.1,301
2019/2020,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,4.10.1.1,121
2020/2021,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,4.10.1.1,-472
2021/2022,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,4.10.1.1,2024
2022/2023,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,4.10.1.1,4113
2023/2024,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,4.10.1.1,3135
2017/2018,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Residual deviation,Total - gender,All ages,Persons,249,units,0,4.11.1.1,647
2018/2019,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Residual deviation,Total - gender,All ages,Persons,249,units,0,4.11.1.1,676
2019/2020,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Residual deviation,Total - gender,All ages,Persons,249,units,0,4.11.1.1,686
2020/2021,"St. John's (CMA), Newfoundland and Labrador",2021S05031,Residual deviation,Total - gender,All ages,Persons,249,units,0,4.11.1.1,456
2017/2018,"Halifax (CMA), Nova Scotia",2021S0503205,Net emigration,Total - gender,All ages,Persons,249,units,0,5.4.1.1,708
2018/2019,"Halifax (CMA), Nova Scotia",2021S0503205,Net emigration,Total - gender,All ages,Persons,249,units,0,5.4.1.1,297
2019/2020,"Halifax (CMA), Nova Scotia",2021S0503205,Net emigration,Total - gender,All ages,Persons,249,units,0,5.4.1.1,140
2020/2021,"Halifax (CMA), Nova Scotia",2021S0503205,Net emigration,Total - gender,All ages,Persons,249,units,0,5.4.1.1,104
2021/2022,"Halifax (CMA), Nova Scotia",2021S0503205,Net emigration,Total - gender,All ages,Persons,249,units,0,5.4.1.1,271
2022/2023,"Halifax (CMA), Nova Scotia",2021S0503205,Net emigration,Total - gender,All ages,Persons,249,units,0,5.4.1.1,205
2023/2024,"Halifax (CMA), Nova Scotia",2021S0503205,Net emigration,Total - gender,All ages,Persons,249,units,0,5.4.1.1,214
2017/2018,"Halifax (CMA), Nova Scotia",2021S0503205,Returning emigrants,Total - gender,All ages,Persons,249,units,0,5.6.1.1,685
2018/2019,"Halifax (CMA), Nova Scotia",2021S0503205,Returning emigrants,Total - gender,All ages,Persons,249,units,0,5.6.1.1,574
2019/2020,"Halifax (CMA), Nova Scotia",2021S0503205,Returning emigrants,Total - gender,All ages,Persons,249,units,0,5.6.1.1,616
2020/2021,"Halifax (CMA), Nova Scotia",2021S0503205,Returning emigrants,Total - gender,All ages,Persons,249,units,0,5.6.1.1,468
2021/2022,"Halifax (CMA), Nova Scotia",2021S0503205,Returning emigrants,Total - gender,All ages,Persons,249,units,0,5.6.1.1,569
2022/2023,"Halifax (CMA), Nova Scotia",2021S0503205,Returning emigrants,Total - gender,All ages,Persons,249,units,0,5.6.1.1,701
2023/2024,"Halifax (CMA), Nova Scotia",2021S0503205,Returning emigrants,Total - gender,All ages,Persons,249,units,0,5.6.1.1,715
2017/2018,"Halifax (CMA), Nova Scotia",2021S0503205,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,5.8.1.1,1563
2018/2019,"Halifax (CMA), Nova Scotia",2021S0503205,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,5.8.1.1,1726
2019/2020,"Halifax (CMA), Nova Scotia",2021S0503205,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,5.8.1.1,3360
2020/2021,"Halifax (CMA), Nova Scotia",2021S0503205,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,5.8.1.1,5696
2021/2022,"Halifax (CMA), Nova Scotia",2021S0503205,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,5.8.1.1,5323
2022/2023,"Halifax (CMA), Nova Scotia",2021S0503205,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,5.8.1.1,2342
2023/2024,"Halifax (CMA), Nova Scotia",2021S0503205,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,5.8.1.1,-246
2017/2018,"Halifax (CMA), Nova Scotia",2021S0503205,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,5.9.1.1,958
2018/2019,"Halifax (CMA), Nova Scotia",2021S0503205,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,5.9.1.1,971
2019/2020,"Halifax (CMA), Nova Scotia",2021S0503205,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,5.9.1.1,971
2020/2021,"Halifax (CMA), Nova Scotia",2021S0503205,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,5.9.1.1,150
2021/2022,"Halifax (CMA), Nova Scotia",2021S0503205,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,5.9.1.1,-162
2022/2023,"Halifax (CMA), Nova Scotia",2021S0503205,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,5.9.1.1,-40
2023/2024,"Halifax (CMA), Nova Scotia",2021S0503205,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,5.9.1.1,-215
2017/2018,"Halifax (CMA), Nova Scotia",2021S0503205,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,5.10.1.1,1205
2018/2019,"Halifax (CMA), Nova Scotia",2021S0503205,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,5.10.1.1,1558
2019/2020,"Halifax (CMA), Nova Scotia",2021S0503205,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,5.10.1.1,1098
2020/2021,"Halifax (CMA), Nova Scotia",2021S0503205,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,5.10.1.1,-184
2021/2022,"Halifax (CMA), Nova Scotia",2021S0503205,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,5.10.1.1,585
2022/2023,"Halifax (CMA), Nova Scotia",2021S0503205,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,5.10.1.1,7482
2023/2024,"Halifax (CMA), Nova Scotia",2021S0503205,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,5.10.1.1,2981
2017/2018,"Halifax (CMA), Nova Scotia",2021S0503205,Residual deviation,Total - gender,All ages,Persons,249,units,0,5.11.1.1,-279
2018/2019,"Halifax (CMA), Nova Scotia",2021S0503205,Residual deviation,Total - gender,All ages,Persons,249,units,0,5.11.1.1,-254
2019/2020,"Halifax (CMA), Nova Scotia",2021S0503205,Residual deviation,Total - gender,All ages,Persons,249,units,0,5.11.1.1,-210
2020/2021,"Halifax (CMA), Nova Scotia",2021S0503205,Residual deviation,Total - gender,All ages,Persons,249,units,0,5.11.1.1,-318
2017/2018,"Moncton (CMA), New Brunswick",2021S0503305,Net emigration,Total - gender,All ages,Persons,249,units,0,6.4.1.1,43
2018/2019,"Moncton (CMA), New Brunswick",2021S0503305,Net emigration,Total - gender,All ages,Persons,249,units,0,6.4.1.1,31
2019/2020,"Moncton (CMA), New Brunswick",2021S0503305,Net emigration,Total - gender,All ages,Persons,249,units,0,6.4.1.1,-51
2020/2021,"Moncton (CMA), New Brunswick",2021S0503305,Net emigration,Total - gender,All ages,Persons,249,units,0,6.4.1.1,27
2021/2022,"Moncton (CMA), New Brunswick",2021S0503305,Net emigration,Total - gender,All ages,Persons,249,units,0,6.4.1.1,91
2022/2023,"Moncton (CMA), New Brunswick",2021S0503305,Net emigration,Total - gender,All ages,Persons,249,units,0,6.4.1.1,-67
2023/2024,"Moncton (CMA), New Brunswick",2021S0503305,Net emigration,Total - gender,All ages,Persons,249,units,0,6.4.1.1,-72
2017/2018,"Moncton (CMA), New Brunswick",2021S0503305,Returning emigrants,Total - gender,All ages,Persons,249,units,0,6.6.1.1,163
2018/2019,"Moncton (CMA), New Brunswick",2021S0503305,Returning emigrants,Total - gender,All ages,Persons,249,units,0,6.6.1.1,91
2019/2020,"Moncton (CMA), New Brunswick",2021S0503305,Returning emigrants,Total - gender,All ages,Persons,249,units,0,6.6.1.1,176
2020/2021,"Moncton (CMA), New Brunswick",2021S0503305,Returning emigrants,Total - gender,All ages,Persons,249,units,0,6.6.1.1,138
2021/2022,"Moncton (CMA), New Brunswick",2021S0503305,Returning emigrants,Total - gender,All ages,Persons,249,units,0,6.6.1.1,138
2022/2023,"Moncton (CMA), New Brunswick",2021S0503305,Returning emigrants,Total - gender,All ages,Persons,249,units,0,6.6.1.1,245
2023/2024,"Moncton (CMA), New Brunswick",2021S0503305,Returning emigrants,Total - gender,All ages,Persons,249,units,0,6.6.1.1,247
2017/2018,"Moncton (CMA), New Brunswick",2021S0503305,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,6.8.1.1,189
2018/2019,"Moncton (CMA), New Brunswick",2021S0503305,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,6.8.1.1,560
2019/2020,"Moncton (CMA), New Brunswick",2021S0503305,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,6.8.1.1,631
2020/2021,"Moncton (CMA), New Brunswick",2021S0503305,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,6.8.1.1,1525
2021/2022,"Moncton (CMA), New Brunswick",2021S0503305,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,6.8.1.1,1813
2022/2023,"Moncton (CMA), New Brunswick",2021S0503305,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,6.8.1.1,587
2023/2024,"Moncton (CMA), New Brunswick",2021S0503305,Net interprovincial migration,Total - gender,All ages,Persons,249,units,0,6.8.1.1,-305
2017/2018,"Moncton (CMA), New Brunswick",2021S0503305,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,6.9.1.1,345
2018/2019,"Moncton (CMA), New Brunswick",2021S0503305,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,6.9.1.1,428
2019/2020,"Moncton (CMA), New Brunswick",2021S0503305,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,6.9.1.1,504
2020/2021,"Moncton (CMA), New Brunswick",2021S0503305,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,6.9.1.1,206
2021/2022,"Moncton (CMA), New Brunswick",2021S0503305,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,6.9.1.1,-41
2022/2023,"Moncton (CMA), New Brunswick",2021S0503305,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,6.9.1.1,49
2023/2024,"Moncton (CMA), New Brunswick",2021S0503305,Net intraprovincial migration,Total - gender,All ages,Persons,249,units,0,6.9.1.1,-164
2017/2018,"Moncton (CMA), New Brunswick",2021S0503305,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,6.10.1.1,150
2018/2019,"Moncton (CMA), New Brunswick",2021S0503305,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,6.10.1.1,551
2019/2020,"Moncton (CMA), New Brunswick",2021S0503305,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,6.10.1.1,265
2020/2021,"Moncton (CMA), New Brunswick",2021S0503305,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,6.10.1.1,522
2021/2022,"Moncton (CMA), New Brunswick",2021S0503305,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,6.10.1.1,1722
2022/2023,"Moncton (CMA), New Brunswick",2021S0503305,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,6.10.1.1,4202
2023/2024,"Moncton (CMA), New Brunswick",2021S0503305,Net non-permanent residents,Total - gender,All ages,Persons,249,units,0,6.10.1.1,2871
2017/2018,"Moncton (CMA), New Brunswick",2021S0503305,Residual deviation,Total - gender,All ages,Persons,249,units,0,6.11.1.1,-267
2018/2019,"Moncton (CMA), New Brunswick",2021S0503305,Residual deviation,Total - gender,All ages,Persons,249,units,0,6.11.1.1,-272
2019/2020,"Moncton (CMA), New Brunswick",2021S0503305,Residual deviation,Total - gender,All ages,Persons,249,units,0,6.11.1.1,-233
2020/2021,"Moncton (CMA), New Brunswick",2021S0503305,Residual deviation,Total - gender,All ages,Persons,249,units,0,6.11.1.1,-266
2017/2018,"Saint John (CMA), New Brunswick",2021S0503310,Net emigration,Total - gender,All ages,Persons,249,units,0,7.4.1.1,40
2018/2019,"Saint John (CMA), New Brunswick",2021S0503310,Net emigration,Total - gender,All ages,Persons,249,units,0,7.4.1.1,30
2019/2020,"Saint John (CMA), New Brunswick",2021S0503310,Net emigration,Total - gender,All ages,Persons,249,units,0,7.4.1.1,-38
2020/2021,"Saint John (CMA), New Brunswick",2021S0503310,Net emigration,Total - gender,All ages,Persons,249,units,0,7.4.1.1,23
2021/2022,"Saint John (CMA), New Brunswick",2021S0503310,Net emigration,Total - gender,All ages,Persons,249,units,0,7.4.1.1,-8
2022/2023,"Saint John (CMA), New Brunswick",2021S0503310,Net emigration,Total - gender,All ages,Persons,249,units,0,7.4.1.1,63
