"","REF_DATE","Characteristics","Wealth","VALUE","covid"
"56",2024-07-01,"All households","Financial assets",10637133,"Post-COVID"
"57",2017-10-01,"All households","Life insurance and pensions",2520593,"Pre-COVID"
"58",2018-01-01,"All households","Life insurance and pensions",NA,"Pre-COVID"
"59",2018-04-01,"All households","Life insurance and pensions",NA,"Pre-COVID"
"60",2018-07-01,"All households","Life insurance and pensions",NA,"Pre-COVID"
"61",2018-10-01,"All households","Life insurance and pensions",2531618,"Pre-COVID"
"62",2019-01-01,"All households","Life insurance and pensions",NA,"Pre-COVID"
"63",2019-04-01,"All households","Life insurance and pensions",NA,"Pre-COVID"
"64",2019-07-01,"All households","Life insurance and pensions",NA,"Pre-COVID"
"65",2019-10-01,"All households","Life insurance and pensions",2789303,"Pre-COVID"
"66",2020-01-01,"All households","Life insurance and pensions",2681499,"Pre-COVID"
"67",2020-04-01,"All households","Life insurance and pensions",2793757,"COVID"
"68",2020-07-01,"All households","Life insurance and pensions",2854554,"COVID"
"69",2020-10-01,"All households","Life insurance and pensions",2944590,"COVID"
"70",2021-01-01,"All households","Life insurance and pensions",2960122,"COVID"
"71",2021-04-01,"All households","Life insurance and pensions",3007944,"COVID"
"72",2021-07-01,"All households","Life insurance and pensions",2956383,"COVID"
"73",2021-10-01,"All households","Life insurance and pensions",3038381,"COVID"
"74",2022-01-01,"All households","Life insurance and pensions",2883925,"COVID"
"75",2022-04-01,"All households","Life insurance and pensions",2694306,"COVID"
"76",2022-07-01,"All households","Life insurance and pensions",2702925,"COVID"
"77",2022-10-01,"All households","Life insurance and pensions",2777663,"Post-COVID"
"78",2023-01-01,"All households","Life insurance and pensions",2857337,"Post-COVID"
"79",2023-04-01,"All households","Life insurance and pensions",2884678,"Post-COVID"
"80",2023-07-01,"All households","Life insurance and pensions",2814189,"Post-COVID"
"81",2023-10-01,"All households","Life insurance and pensions",2943237,"Post-COVID"
"82",2024-01-01,"All households","Life insurance and pensions",3035146,"Post-COVID"
"83",2024-04-01,"All households","Life insurance and pensions",3062793,"Post-COVID"
"84",2024-07-01,"All households","Life insurance and pensions",3188734,"Post-COVID"
"85",2017-10-01,"All households","Other financial assets",4633816,"Pre-COVID"
"86",2018-01-01,"All households","Other financial assets",NA,"Pre-COVID"
"87",2018-04-01,"All households","Other financial assets",NA,"Pre-COVID"
"88",2018-07-01,"All households","Other financial assets",NA,"Pre-COVID"
"89",2018-10-01,"All households","Other financial assets",4727302,"Pre-COVID"
"90",2019-01-01,"All households","Other financial assets",NA,"Pre-COVID"
"91",2019-04-01,"All households","Other financial assets",NA,"Pre-COVID"
"92",2019-07-01,"All households","Other financial assets",NA,"Pre-COVID"
"93",2019-10-01,"All households","Other financial assets",5185258,"Pre-COVID"
"94",2020-01-01,"All households","Other financial assets",4818280,"Pre-COVID"
"95",2020-04-01,"All households","Other financial assets",5154919,"COVID"
"96",2020-07-01,"All households","Other financial assets",5371460,"COVID"
"97",2020-10-01,"All households","Other financial assets",5654896,"COVID"
"98",2021-01-01,"All households","Other financial assets",5916246,"COVID"
"99",2021-04-01,"All households","Other financial assets",6125445,"COVID"
"100",2021-07-01,"All households","Other financial assets",6172182,"COVID"
"101",2021-10-01,"All households","Other financial assets",6400855,"COVID"
"102",2022-01-01,"All households","Other financial assets",6363249,"COVID"
"103",2022-04-01,"All households","Other financial assets",6122132,"COVID"
"104",2022-07-01,"All households","Other financial assets",6142328,"COVID"
"105",2022-10-01,"All households","Other financial assets",6341536,"Post-COVID"
"106",2023-01-01,"All households","Other financial assets",6548888,"Post-COVID"
"107",2023-04-01,"All households","Other financial assets",6628903,"Post-COVID"
"108",2023-07-01,"All households","Other financial assets",6545461,"Post-COVID"
"109",2023-10-01,"All households","Other financial assets",6803569,"Post-COVID"
"110",2024-01-01,"All households","Other financial assets",7096088,"Post-COVID"
"111",2024-04-01,"All households","Other financial assets",7174368,"Post-COVID"
"112",2024-07-01,"All households","Other financial assets",7448399,"Post-COVID"
"113",2017-10-01,"All households","Non-financial assets",6319559,"Pre-COVID"
"114",2018-01-01,"All households","Non-financial assets",NA,"Pre-COVID"
"115",2018-04-01,"All households","Non-financial assets",NA,"Pre-COVID"
"116",2018-07-01,"All households","Non-financial assets",NA,"Pre-COVID"
"117",2018-10-01,"All households","Non-financial assets",6405524,"Pre-COVID"
"118",2019-01-01,"All households","Non-financial assets",NA,"Pre-COVID"
"119",2019-04-01,"All households","Non-financial assets",NA,"Pre-COVID"
"120",2019-07-01,"All households","Non-financial assets",NA,"Pre-COVID"
"121",2019-10-01,"All households","Non-financial assets",6791029,"Pre-COVID"
"122",2020-01-01,"All households","Non-financial assets",6944577,"Pre-COVID"
"123",2020-04-01,"All households","Non-financial assets",7168695,"COVID"
"124",2020-07-01,"All households","Non-financial assets",7444702,"COVID"
"125",2020-10-01,"All households","Non-financial assets",7879160,"COVID"
"126",2021-01-01,"All households","Non-financial assets",8518934,"COVID"
"127",2021-04-01,"All households","Non-financial assets",8725827,"COVID"
"128",2021-07-01,"All households","Non-financial assets",9202632,"COVID"
"129",2021-10-01,"All households","Non-financial assets",9864634,"COVID"
"130",2022-01-01,"All households","Non-financial assets",10212275,"COVID"
"131",2022-04-01,"All households","Non-financial assets",9706615,"COVID"
"132",2022-07-01,"All households","Non-financial assets",9386188,"COVID"
"133",2022-10-01,"All households","Non-financial assets",9277473,"Post-COVID"
"134",2023-01-01,"All households","Non-financial assets",9543427,"Post-COVID"
"135",2023-04-01,"All households","Non-financial assets",9732921,"Post-COVID"
"136",2023-07-01,"All households","Non-financial assets",9624906,"Post-COVID"
"137",2023-10-01,"All households","Non-financial assets",9508177,"Post-COVID"
"138",2024-01-01,"All households","Non-financial assets",9763204,"Post-COVID"
"139",2024-04-01,"All households","Non-financial assets",9768842,"Post-COVID"
"140",2024-07-01,"All households","Non-financial assets",9693455,"Post-COVID"
"141",2017-10-01,"All households","Real estate",5594347,"Pre-COVID"
"142",2018-01-01,"All households","Real estate",NA,"Pre-COVID"
"143",2018-04-01,"All households","Real estate",NA,"Pre-COVID"
"144",2018-07-01,"All households","Real estate",NA,"Pre-COVID"
"145",2018-10-01,"All households","Real estate",5653527,"Pre-COVID"
"146",2019-01-01,"All households","Real estate",NA,"Pre-COVID"
"147",2019-04-01,"All households","Real estate",NA,"Pre-COVID"
"148",2019-07-01,"All households","Real estate",NA,"Pre-COVID"
"149",2019-10-01,"All households","Real estate",6011310,"Pre-COVID"
"150",2020-01-01,"All households","Real estate",6174529,"Pre-COVID"
"151",2020-04-01,"All households","Real estate",6402305,"COVID"
"152",2020-07-01,"All households","Real estate",6649697,"COVID"
"153",2020-10-01,"All households","Real estate",7072888,"COVID"
"154",2021-01-01,"All households","Real estate",7710464,"COVID"
"155",2021-04-01,"All households","Real estate",7894656,"COVID"
"156",2021-07-01,"All households","Real estate",8346763,"COVID"
"157",2021-10-01,"All households","Real estate",8990020,"COVID"
"158",2022-01-01,"All households","Real estate",9328329,"COVID"
"159",2022-04-01,"All households","Real estate",8790247,"COVID"
"160",2022-07-01,"All households","Real estate",8451770,"COVID"
"161",2022-10-01,"All households","Real estate",8350046,"Post-COVID"
"162",2023-01-01,"All households","Real estate",8620324,"Post-COVID"
"163",2023-04-01,"All households","Real estate",8791222,"Post-COVID"
"164",2023-07-01,"All households","Real estate",8668168,"Post-COVID"
"165",2023-10-01,"All households","Real estate",8545767,"Post-COVID"
"166",2024-01-01,"All households","Real estate",8800249,"Post-COVID"
"167",2024-04-01,"All households","Real estate",8796374,"Post-COVID"
"168",2024-07-01,"All households","Real estate",8708940,"Post-COVID"
"169",2017-10-01,"All households","Other non-financial assets",725212,"Pre-COVID"
"170",2018-01-01,"All households","Other non-financial assets",NA,"Pre-COVID"
"171",2018-04-01,"All households","Other non-financial assets",NA,"Pre-COVID"
"172",2018-07-01,"All households","Other non-financial assets",NA,"Pre-COVID"
"173",2018-10-01,"All households","Other non-financial assets",751997,"Pre-COVID"
"174",2019-01-01,"All households","Other non-financial assets",NA,"Pre-COVID"
"175",2019-04-01,"All households","Other non-financial assets",NA,"Pre-COVID"
"176",2019-07-01,"All households","Other non-financial assets",NA,"Pre-COVID"
"177",2019-10-01,"All households","Other non-financial assets",779719,"Pre-COVID"
"178",2020-01-01,"All households","Other non-financial assets",770048,"Pre-COVID"
"179",2020-04-01,"All households","Other non-financial assets",766390,"COVID"
"180",2020-07-01,"All households","Other non-financial assets",795005,"COVID"
"181",2020-10-01,"All households","Other non-financial assets",806272,"COVID"
"182",2021-01-01,"All households","Other non-financial assets",808470,"COVID"
"183",2021-04-01,"All households","Other non-financial assets",831171,"COVID"
"184",2021-07-01,"All households","Other non-financial assets",855869,"COVID"
"185",2021-10-01,"All households","Other non-financial assets",874614,"COVID"
"186",2022-01-01,"All households","Other non-financial assets",883946,"COVID"
"187",2022-04-01,"All households","Other non-financial assets",916368,"COVID"
"188",2022-07-01,"All households","Other non-financial assets",934418,"COVID"
"189",2022-10-01,"All households","Other non-financial assets",927427,"Post-COVID"
"190",2023-01-01,"All households","Other non-financial assets",923103,"Post-COVID"
"191",2023-04-01,"All households","Other non-financial assets",941699,"Post-COVID"
"192",2023-07-01,"All households","Other non-financial assets",956738,"Post-COVID"
"193",2023-10-01,"All households","Other non-financial assets",962410,"Post-COVID"
"194",2024-01-01,"All households","Other non-financial assets",962955,"Post-COVID"
"195",2024-04-01,"All households","Other non-financial assets",972468,"Post-COVID"
"196",2024-07-01,"All households","Other non-financial assets",984515,"Post-COVID"
"197",2017-10-01,"All households","Total liabilities",2227725,"Pre-COVID"
"198",2018-01-01,"All households","Total liabilities",NA,"Pre-COVID"
"199",2018-04-01,"All households","Total liabilities",NA,"Pre-COVID"
"200",2018-07-01,"All households","Total liabilities",NA,"Pre-COVID"
"201",2018-10-01,"All households","Total liabilities",2311569,"Pre-COVID"
"202",2019-01-01,"All households","Total liabilities",NA,"Pre-COVID"
"203",2019-04-01,"All households","Total liabilities",NA,"Pre-COVID"
"204",2019-07-01,"All households","Total liabilities",NA,"Pre-COVID"
"205",2019-10-01,"All households","Total liabilities",2403655,"Pre-COVID"
"206",2020-01-01,"All households","Total liabilities",2411925,"Pre-COVID"
"207",2020-04-01,"All households","Total liabilities",2426057,"COVID"
"208",2020-07-01,"All households","Total liabilities",2467507,"COVID"
"209",2020-10-01,"All households","Total liabilities",2499563,"COVID"
"210",2021-01-01,"All households","Total liabilities",2511424,"COVID"
"211",2021-04-01,"All households","Total liabilities",2581654,"COVID"
"212",2021-07-01,"All households","Total liabilities",2636968,"COVID"
"213",2021-10-01,"All households","Total liabilities",2686595,"COVID"
"214",2022-01-01,"All households","Total liabilities",2723514,"COVID"
"215",2022-04-01,"All households","Total liabilities",2798831,"COVID"
"216",2022-07-01,"All households","Total liabilities",2843189,"COVID"
"217",2022-10-01,"All households","Total liabilities",2862939,"Post-COVID"
"218",2023-01-01,"All households","Total liabilities",2865260,"Post-COVID"
"219",2023-04-01,"All households","Total liabilities",2904618,"Post-COVID"
"220",2023-07-01,"All households","Total liabilities",2937759,"Post-COVID"
"221",2023-10-01,"All households","Total liabilities",2957665,"Post-COVID"
"222",2024-01-01,"All households","Total liabilities",2962980,"Post-COVID"
"223",2024-04-01,"All households","Total liabilities",3006631,"Post-COVID"
"224",2024-07-01,"All households","Total liabilities",3043496,"Post-COVID"
"225",2017-10-01,"All households","Mortgage liabilities",1509430,"Pre-COVID"
"226",2018-01-01,"All households","Mortgage liabilities",NA,"Pre-COVID"
"227",2018-04-01,"All households","Mortgage liabilities",NA,"Pre-COVID"
"228",2018-07-01,"All households","Mortgage liabilities",NA,"Pre-COVID"
"229",2018-10-01,"All households","Mortgage liabilities",1569187,"Pre-COVID"
"230",2019-01-01,"All households","Mortgage liabilities",NA,"Pre-COVID"
"231",2019-04-01,"All households","Mortgage liabilities",NA,"Pre-COVID"
"232",2019-07-01,"All households","Mortgage liabilities",NA,"Pre-COVID"
"233",2019-10-01,"All households","Mortgage liabilities",1648555,"Pre-COVID"
"234",2020-01-01,"All households","Mortgage liabilities",1669819,"Pre-COVID"
"235",2020-04-01,"All households","Mortgage liabilities",1697389,"COVID"
"236",2020-07-01,"All households","Mortgage liabilities",1732761,"COVID"
"237",2020-10-01,"All households","Mortgage liabilities",1769134,"COVID"
"238",2021-01-01,"All households","Mortgage liabilities",1796351,"COVID"
"239",2021-04-01,"All households","Mortgage liabilities",1859396,"COVID"
"240",2021-07-01,"All households","Mortgage liabilities",1906577,"COVID"
"241",2021-10-01,"All households","Mortgage liabilities",1951113,"COVID"
"242",2022-01-01,"All households","Mortgage liabilities",1987877,"COVID"
"243",2022-04-01,"All households","Mortgage liabilities",2044975,"COVID"
"244",2022-07-01,"All households","Mortgage liabilities",2079550,"COVID"
"245",2022-10-01,"All households","Mortgage liabilities",2094497,"Post-COVID"
"246",2023-01-01,"All households","Mortgage liabilities",2101549,"Post-COVID"
"247",2023-04-01,"All households","Mortgage liabilities",2128057,"Post-COVID"
"248",2023-07-01,"All households","Mortgage liabilities",2153477,"Post-COVID"
"249",2023-10-01,"All households","Mortgage liabilities",2166987,"Post-COVID"
"250",2024-01-01,"All households","Mortgage liabilities",2172364,"Post-COVID"
"251",2024-04-01,"All households","Mortgage liabilities",2202083,"Post-COVID"
"252",2024-07-01,"All households","Mortgage liabilities",2228678,"Post-COVID"
"253",2017-10-01,"All households","Other liabilities",718295,"Pre-COVID"
"254",2018-01-01,"All households","Other liabilities",NA,"Pre-COVID"
"255",2018-04-01,"All households","Other liabilities",NA,"Pre-COVID"
"256",2018-07-01,"All households","Other liabilities",NA,"Pre-COVID"
"257",2018-10-01,"All households","Other liabilities",742382,"Pre-COVID"
"258",2019-01-01,"All households","Other liabilities",NA,"Pre-COVID"
"259",2019-04-01,"All households","Other liabilities",NA,"Pre-COVID"
"260",2019-07-01,"All households","Other liabilities",NA,"Pre-COVID"
"261",2019-10-01,"All households","Other liabilities",755100,"Pre-COVID"
"262",2020-01-01,"All households","Other liabilities",742106,"Pre-COVID"
"263",2020-04-01,"All households","Other liabilities",728668,"COVID"
"264",2020-07-01,"All households","Other liabilities",734746,"COVID"
"265",2020-10-01,"All households","Other liabilities",730429,"COVID"
"266",2021-01-01,"All households","Other liabilities",715073,"COVID"
"267",2021-04-01,"All households","Other liabilities",722258,"COVID"
"268",2021-07-01,"All households","Other liabilities",730391,"COVID"
"269",2021-10-01,"All households","Other liabilities",735482,"COVID"
"270",2022-01-01,"All households","Other liabilities",735637,"COVID"
"271",2022-04-01,"All households","Other liabilities",753856,"COVID"
"272",2022-07-01,"All households","Other liabilities",763639,"COVID"
"273",2022-10-01,"All households","Other liabilities",768442,"Post-COVID"
"274",2023-01-01,"All households","Other liabilities",763711,"Post-COVID"
"275",2023-04-01,"All households","Other liabilities",776561,"Post-COVID"
"276",2023-07-01,"All households","Other liabilities",784282,"Post-COVID"
"277",2023-10-01,"All households","Other liabilities",790678,"Post-COVID"
"278",2024-01-01,"All households","Other liabilities",790616,"Post-COVID"
"279",2024-04-01,"All households","Other liabilities",804548,"Post-COVID"
"280",2024-07-01,"All households","Other liabilities",814818,"Post-COVID"
"281",2017-10-01,"All households","Net worth (wealth)",11246243,"Pre-COVID"
"282",2018-01-01,"All households","Net worth (wealth)",NA,"Pre-COVID"
"283",2018-04-01,"All households","Net worth (wealth)",NA,"Pre-COVID"
"284",2018-07-01,"All households","Net worth (wealth)",NA,"Pre-COVID"
"285",2018-10-01,"All households","Net worth (wealth)",11352875,"Pre-COVID"
"286",2019-01-01,"All households","Net worth (wealth)",NA,"Pre-COVID"
"287",2019-04-01,"All households","Net worth (wealth)",NA,"Pre-COVID"
"288",2019-07-01,"All households","Net worth (wealth)",NA,"Pre-COVID"
"289",2019-10-01,"All households","Net worth (wealth)",12361935,"Pre-COVID"
"290",2020-01-01,"All households","Net worth (wealth)",12032431,"Pre-COVID"
"291",2020-04-01,"All households","Net worth (wealth)",12691314,"COVID"
"292",2020-07-01,"All households","Net worth (wealth)",13203209,"COVID"
"293",2020-10-01,"All households","Net worth (wealth)",13979083,"COVID"
"294",2021-01-01,"All households","Net worth (wealth)",14883878,"COVID"
"295",2021-04-01,"All households","Net worth (wealth)",15277562,"COVID"
"296",2021-07-01,"All households","Net worth (wealth)",15694229,"COVID"
"297",2021-10-01,"All households","Net worth (wealth)",16617275,"COVID"
"298",2022-01-01,"All households","Net worth (wealth)",16735935,"COVID"
"299",2022-04-01,"All households","Net worth (wealth)",15724222,"COVID"
"300",2022-07-01,"All households","Net worth (wealth)",15388252,"COVID"
"301",2022-10-01,"All households","Net worth (wealth)",15533733,"Post-COVID"
"302",2023-01-01,"All households","Net worth (wealth)",16084392,"Post-COVID"
"303",2023-04-01,"All households","Net worth (wealth)",16341884,"Post-COVID"
"304",2023-07-01,"All households","Net worth (wealth)",16046797,"Post-COVID"
"305",2023-10-01,"All households","Net worth (wealth)",16297318,"Post-COVID"
"306",2024-01-01,"All households","Net worth (wealth)",16931458,"Post-COVID"
"307",2024-04-01,"All households","Net worth (wealth)",16999372,"Post-COVID"
"308",2024-07-01,"All households","Net worth (wealth)",17287092,"Post-COVID"
"309",2017-10-01,"Lowest income quintile","Total assets",751007,"Pre-COVID"
"310",2018-01-01,"Lowest income quintile","Total assets",NA,"Pre-COVID"
"311",2018-04-01,"Lowest income quintile","Total assets",NA,"Pre-COVID"
"312",2018-07-01,"Lowest income quintile","Total assets",NA,"Pre-COVID"
"313",2018-10-01,"Lowest income quintile","Total assets",846107,"Pre-COVID"
"314",2019-01-01,"Lowest income quintile","Total assets",NA,"Pre-COVID"
"315",2019-04-01,"Lowest income quintile","Total assets",NA,"Pre-COVID"
"316",2019-07-01,"Lowest income quintile","Total assets",NA,"Pre-COVID"
"317",2019-10-01,"Lowest income quintile","Total assets",1043419,"Pre-COVID"
"318",2020-01-01,"Lowest income quintile","Total assets",1308997,"Pre-COVID"
"319",2020-04-01,"Lowest income quintile","Total assets",1557541,"COVID"
"320",2020-07-01,"Lowest income quintile","Total assets",1641484,"COVID"
"321",2020-10-01,"Lowest income quintile","Total assets",1865339,"COVID"
"322",2021-01-01,"Lowest income quintile","Total assets",2113017,"COVID"
"323",2021-04-01,"Lowest income quintile","Total assets",2163468,"COVID"
"324",2021-07-01,"Lowest income quintile","Total assets",2045659,"COVID"
"325",2021-10-01,"Lowest income quintile","Total assets",2211368,"COVID"
"326",2022-01-01,"Lowest income quintile","Total assets",2448753,"COVID"
"327",2022-04-01,"Lowest income quintile","Total assets",2254871,"COVID"
"328",2022-07-01,"Lowest income quintile","Total assets",2064001,"COVID"
"329",2022-10-01,"Lowest income quintile","Total assets",2232353,"Post-COVID"
"330",2023-01-01,"Lowest income quintile","Total assets",2482680,"Post-COVID"
"331",2023-04-01,"Lowest income quintile","Total assets",2360538,"Post-COVID"
"332",2023-07-01,"Lowest income quintile","Total assets",2191481,"Post-COVID"
"333",2023-10-01,"Lowest income quintile","Total assets",2191211,"Post-COVID"
"334",2024-01-01,"Lowest income quintile","Total assets",2383234,"Post-COVID"
"335",2024-04-01,"Lowest income quintile","Total assets",2337602,"Post-COVID"
"336",2024-07-01,"Lowest income quintile","Total assets",2191451,"Post-COVID"
"337",2017-10-01,"Lowest income quintile","Financial assets",290495,"Pre-COVID"
"338",2018-01-01,"Lowest income quintile","Financial assets",NA,"Pre-COVID"
"339",2018-04-01,"Lowest income quintile","Financial assets",NA,"Pre-COVID"
"340",2018-07-01,"Lowest income quintile","Financial assets",NA,"Pre-COVID"
"341",2018-10-01,"Lowest income quintile","Financial assets",342384,"Pre-COVID"
"342",2019-01-01,"Lowest income quintile","Financial assets",NA,"Pre-COVID"
"343",2019-04-01,"Lowest income quintile","Financial assets",NA,"Pre-COVID"
"344",2019-07-01,"Lowest income quintile","Financial assets",NA,"Pre-COVID"
"345",2019-10-01,"Lowest income quintile","Financial assets",445864,"Pre-COVID"
"346",2020-01-01,"Lowest income quintile","Financial assets",553853,"Pre-COVID"
"347",2020-04-01,"Lowest income quintile","Financial assets",735292,"COVID"
"348",2020-07-01,"Lowest income quintile","Financial assets",790062,"COVID"
"349",2020-10-01,"Lowest income quintile","Financial assets",900627,"COVID"
"350",2021-01-01,"Lowest income quintile","Financial assets",1011420,"COVID"
"351",2021-04-01,"Lowest income quintile","Financial assets",1065234,"COVID"
"352",2021-07-01,"Lowest income quintile","Financial assets",972393,"COVID"
"353",2021-10-01,"Lowest income quintile","Financial assets",1006813,"COVID"
"354",2022-01-01,"Lowest income quintile","Financial assets",1096285,"COVID"
"355",2022-04-01,"Lowest income quintile","Financial assets",1010010,"COVID"
"356",2022-07-01,"Lowest income quintile","Financial assets",925298,"COVID"
"357",2022-10-01,"Lowest income quintile","Financial assets",992417,"Post-COVID"
"358",2023-01-01,"Lowest income quintile","Financial assets",1074955,"Post-COVID"
"359",2023-04-01,"Lowest income quintile","Financial assets",1040157,"Post-COVID"
"360",2023-07-01,"Lowest income quintile","Financial assets",933695,"Post-COVID"
"361",2023-10-01,"Lowest income quintile","Financial assets",981612,"Post-COVID"
"362",2024-01-01,"Lowest income quintile","Financial assets",1073047,"Post-COVID"
"363",2024-04-01,"Lowest income quintile","Financial assets",1088064,"Post-COVID"
"364",2024-07-01,"Lowest income quintile","Financial assets",1017260,"Post-COVID"
"365",2017-10-01,"Lowest income quintile","Life insurance and pensions",83878,"Pre-COVID"
"366",2018-01-01,"Lowest income quintile","Life insurance and pensions",NA,"Pre-COVID"
"367",2018-04-01,"Lowest income quintile","Life insurance and pensions",NA,"Pre-COVID"
"368",2018-07-01,"Lowest income quintile","Life insurance and pensions",NA,"Pre-COVID"
"369",2018-10-01,"Lowest income quintile","Life insurance and pensions",94107,"Pre-COVID"
"370",2019-01-01,"Lowest income quintile","Life insurance and pensions",NA,"Pre-COVID"
"371",2019-04-01,"Lowest income quintile","Life insurance and pensions",NA,"Pre-COVID"
"372",2019-07-01,"Lowest income quintile","Life insurance and pensions",NA,"Pre-COVID"
"373",2019-10-01,"Lowest income quintile","Life insurance and pensions",124575,"Pre-COVID"
"374",2020-01-01,"Lowest income quintile","Life insurance and pensions",154584,"Pre-COVID"
"375",2020-04-01,"Lowest income quintile","Life insurance and pensions",221894,"COVID"
"376",2020-07-01,"Lowest income quintile","Life insurance and pensions",227631,"COVID"
"377",2020-10-01,"Lowest income quintile","Life insurance and pensions",243332,"COVID"
"378",2021-01-01,"Lowest income quintile","Life insurance and pensions",267460,"COVID"
"379",2021-04-01,"Lowest income quintile","Life insurance and pensions",305279,"COVID"
"380",2021-07-01,"Lowest income quintile","Life insurance and pensions",236658,"COVID"
"381",2021-10-01,"Lowest income quintile","Life insurance and pensions",246182,"COVID"
"382",2022-01-01,"Lowest income quintile","Life insurance and pensions",261641,"COVID"
"383",2022-04-01,"Lowest income quintile","Life insurance and pensions",262117,"COVID"
"384",2022-07-01,"Lowest income quintile","Life insurance and pensions",225776,"COVID"
"385",2022-10-01,"Lowest income quintile","Life insurance and pensions",257093,"Post-COVID"
"386",2023-01-01,"Lowest income quintile","Life insurance and pensions",263414,"Post-COVID"
"387",2023-04-01,"Lowest income quintile","Life insurance and pensions",271385,"Post-COVID"
"388",2023-07-01,"Lowest income quintile","Life insurance and pensions",219620,"Post-COVID"
"389",2023-10-01,"Lowest income quintile","Life insurance and pensions",231661,"Post-COVID"
"390",2024-01-01,"Lowest income quintile","Life insurance and pensions",257988,"Post-COVID"
"391",2024-04-01,"Lowest income quintile","Life insurance and pensions",287449,"Post-COVID"
"392",2024-07-01,"Lowest income quintile","Life insurance and pensions",241509,"Post-COVID"
"393",2017-10-01,"Lowest income quintile","Other financial assets",206617,"Pre-COVID"
"394",2018-01-01,"Lowest income quintile","Other financial assets",NA,"Pre-COVID"
"395",2018-04-01,"Lowest income quintile","Other financial assets",NA,"Pre-COVID"
"396",2018-07-01,"Lowest income quintile","Other financial assets",NA,"Pre-COVID"
"397",2018-10-01,"Lowest income quintile","Other financial assets",248277,"Pre-COVID"
"398",2019-01-01,"Lowest income quintile","Other financial assets",NA,"Pre-COVID"
"399",2019-04-01,"Lowest income quintile","Other financial assets",NA,"Pre-COVID"
"400",2019-07-01,"Lowest income quintile","Other financial assets",NA,"Pre-COVID"
