"","REF_DATE","City","Province","Components.of.population.growth","VALUE","Type.of.area","covid"
"71","2017/2018","St. John's","NL","Immigrants",882,"CMA","Pre-COVID"
"72","2018/2019","St. John's","NL","Immigrants",1134,"CMA","Pre-COVID"
"73","2019/2020","St. John's","NL","Immigrants",1039,"CMA","Pre-COVID"
"74","2020/2021","St. John's","NL","Immigrants",652,"CMA","COVID"
"75","2021/2022","St. John's","NL","Immigrants",2134,"CMA","COVID"
"76","2022/2023","St. John's","NL","Immigrants",3870,"CMA","Post-COVID"
"77","2023/2024","St. John's","NL","Immigrants",3850,"CMA","Post-COVID"
"78","2017/2018","St. John's","NL","Emigrants",193,"CMA","Pre-COVID"
"79","2018/2019","St. John's","NL","Emigrants",266,"CMA","Pre-COVID"
"80","2019/2020","St. John's","NL","Emigrants",183,"CMA","Pre-COVID"
"81","2020/2021","St. John's","NL","Emigrants",258,"CMA","COVID"
"82","2021/2022","St. John's","NL","Emigrants",272,"CMA","COVID"
"83","2022/2023","St. John's","NL","Emigrants",170,"CMA","Post-COVID"
"84","2023/2024","St. John's","NL","Emigrants",172,"CMA","Post-COVID"
"85","2017/2018","Halifax","NS","Births",4074,"CMA","Pre-COVID"
"86","2018/2019","Halifax","NS","Births",4100,"CMA","Pre-COVID"
"87","2019/2020","Halifax","NS","Births",4166,"CMA","Pre-COVID"
"88","2020/2021","Halifax","NS","Births",4064,"CMA","COVID"
"89","2021/2022","Halifax","NS","Births",4138,"CMA","COVID"
"90","2022/2023","Halifax","NS","Births",3884,"CMA","Post-COVID"
"91","2023/2024","Halifax","NS","Births",3934,"CMA","Post-COVID"
"92","2017/2018","Halifax","NS","Deaths",3526,"CMA","Pre-COVID"
"93","2018/2019","Halifax","NS","Deaths",3531,"CMA","Pre-COVID"
"94","2019/2020","Halifax","NS","Deaths",3607,"CMA","Pre-COVID"
"95","2020/2021","Halifax","NS","Deaths",3599,"CMA","COVID"
"96","2021/2022","Halifax","NS","Deaths",3674,"CMA","COVID"
"97","2022/2023","Halifax","NS","Deaths",4125,"CMA","Post-COVID"
"98","2023/2024","Halifax","NS","Deaths",4229,"CMA","Post-COVID"
"99","2017/2018","Halifax","NS","Immigrants",4397,"CMA","Pre-COVID"
"100","2018/2019","Halifax","NS","Immigrants",5454,"CMA","Pre-COVID"
"101","2019/2020","Halifax","NS","Immigrants",5190,"CMA","Pre-COVID"
"102","2020/2021","Halifax","NS","Immigrants",2874,"CMA","COVID"
"103","2021/2022","Halifax","NS","Immigrants",10860,"CMA","COVID"
"104","2022/2023","Halifax","NS","Immigrants",9700,"CMA","Post-COVID"
"105","2023/2024","Halifax","NS","Immigrants",10175,"CMA","Post-COVID"
"106","2017/2018","Halifax","NS","Emigrants",1393,"CMA","Pre-COVID"
"107","2018/2019","Halifax","NS","Emigrants",871,"CMA","Pre-COVID"
"108","2019/2020","Halifax","NS","Emigrants",756,"CMA","Pre-COVID"
"109","2020/2021","Halifax","NS","Emigrants",572,"CMA","COVID"
"110","2021/2022","Halifax","NS","Emigrants",840,"CMA","COVID"
"111","2022/2023","Halifax","NS","Emigrants",906,"CMA","Post-COVID"
"112","2023/2024","Halifax","NS","Emigrants",929,"CMA","Post-COVID"
"113","2017/2018","Moncton","NB","Births",1294,"CMA","Pre-COVID"
"114","2018/2019","Moncton","NB","Births",1398,"CMA","Pre-COVID"
"115","2019/2020","Moncton","NB","Births",1351,"CMA","Pre-COVID"
"116","2020/2021","Moncton","NB","Births",1344,"CMA","COVID"
"117","2021/2022","Moncton","NB","Births",1404,"CMA","COVID"
"118","2022/2023","Moncton","NB","Births",1425,"CMA","Post-COVID"
"119","2023/2024","Moncton","NB","Births",1444,"CMA","Post-COVID"
"120","2017/2018","Moncton","NB","Deaths",1185,"CMA","Pre-COVID"
"121","2018/2019","Moncton","NB","Deaths",1271,"CMA","Pre-COVID"
"122","2019/2020","Moncton","NB","Deaths",1260,"CMA","Pre-COVID"
"123","2020/2021","Moncton","NB","Deaths",1274,"CMA","COVID"
"124","2021/2022","Moncton","NB","Deaths",1550,"CMA","COVID"
"125","2022/2023","Moncton","NB","Deaths",1540,"CMA","Post-COVID"
"126","2023/2024","Moncton","NB","Deaths",1587,"CMA","Post-COVID"
"127","2017/2018","Moncton","NB","Immigrants",1381,"CMA","Pre-COVID"
"128","2018/2019","Moncton","NB","Immigrants",1695,"CMA","Pre-COVID"
"129","2019/2020","Moncton","NB","Immigrants",1748,"CMA","Pre-COVID"
"130","2020/2021","Moncton","NB","Immigrants",1211,"CMA","COVID"
"131","2021/2022","Moncton","NB","Immigrants",3948,"CMA","COVID"
"132","2022/2023","Moncton","NB","Immigrants",5228,"CMA","Post-COVID"
"133","2023/2024","Moncton","NB","Immigrants",7106,"CMA","Post-COVID"
"134","2017/2018","Moncton","NB","Emigrants",206,"CMA","Pre-COVID"
"135","2018/2019","Moncton","NB","Emigrants",122,"CMA","Pre-COVID"
"136","2019/2020","Moncton","NB","Emigrants",125,"CMA","Pre-COVID"
"137","2020/2021","Moncton","NB","Emigrants",165,"CMA","COVID"
"138","2021/2022","Moncton","NB","Emigrants",229,"CMA","COVID"
"139","2022/2023","Moncton","NB","Emigrants",178,"CMA","Post-COVID"
"140","2023/2024","Moncton","NB","Emigrants",175,"CMA","Post-COVID"
"141","2017/2018","Saint John","NB","Births",1196,"CMA","Pre-COVID"
"142","2018/2019","Saint John","NB","Births",1180,"CMA","Pre-COVID"
"143","2019/2020","Saint John","NB","Births",1166,"CMA","Pre-COVID"
"144","2020/2021","Saint John","NB","Births",1152,"CMA","COVID"
"145","2021/2022","Saint John","NB","Births",1129,"CMA","COVID"
"146","2022/2023","Saint John","NB","Births",1106,"CMA","Post-COVID"
"147","2023/2024","Saint John","NB","Births",1120,"CMA","Post-COVID"
"148","2017/2018","Saint John","NB","Deaths",1269,"CMA","Pre-COVID"
"149","2018/2019","Saint John","NB","Deaths",1346,"CMA","Pre-COVID"
"150","2019/2020","Saint John","NB","Deaths",1333,"CMA","Pre-COVID"
"151","2020/2021","Saint John","NB","Deaths",1314,"CMA","COVID"
"152","2021/2022","Saint John","NB","Deaths",1488,"CMA","COVID"
"153","2022/2023","Saint John","NB","Deaths",1549,"CMA","Post-COVID"
"154","2023/2024","Saint John","NB","Deaths",1596,"CMA","Post-COVID"
"155","2017/2018","Saint John","NB","Immigrants",784,"CMA","Pre-COVID"
"156","2018/2019","Saint John","NB","Immigrants",892,"CMA","Pre-COVID"
"157","2019/2020","Saint John","NB","Immigrants",892,"CMA","Pre-COVID"
"158","2020/2021","Saint John","NB","Immigrants",370,"CMA","COVID"
"159","2021/2022","Saint John","NB","Immigrants",1200,"CMA","COVID"
"160","2022/2023","Saint John","NB","Immigrants",1736,"CMA","Post-COVID"
"161","2023/2024","Saint John","NB","Immigrants",2425,"CMA","Post-COVID"
"162","2017/2018","Saint John","NB","Emigrants",182,"CMA","Pre-COVID"
"163","2018/2019","Saint John","NB","Emigrants",127,"CMA","Pre-COVID"
"164","2019/2020","Saint John","NB","Emigrants",58,"CMA","Pre-COVID"
"165","2020/2021","Saint John","NB","Emigrants",87,"CMA","COVID"
"166","2021/2022","Saint John","NB","Emigrants",88,"CMA","COVID"
"167","2022/2023","Saint John","NB","Emigrants",164,"CMA","Post-COVID"
"168","2023/2024","Saint John","NB","Emigrants",173,"CMA","Post-COVID"
"169","2017/2018","Fredericton","NB","Births",1017,"CMA","Pre-COVID"
"170","2018/2019","Fredericton","NB","Births",956,"CMA","Pre-COVID"
"171","2019/2020","Fredericton","NB","Births",981,"CMA","Pre-COVID"
"172","2020/2021","Fredericton","NB","Births",990,"CMA","COVID"
"173","2021/2022","Fredericton","NB","Births",976,"CMA","COVID"
"174","2022/2023","Fredericton","NB","Births",961,"CMA","Post-COVID"
"175","2023/2024","Fredericton","NB","Births",973,"CMA","Post-COVID"
"176","2017/2018","Fredericton","NB","Deaths",861,"CMA","Pre-COVID"
"177","2018/2019","Fredericton","NB","Deaths",845,"CMA","Pre-COVID"
"178","2019/2020","Fredericton","NB","Deaths",861,"CMA","Pre-COVID"
"179","2020/2021","Fredericton","NB","Deaths",843,"CMA","COVID"
"180","2021/2022","Fredericton","NB","Deaths",1001,"CMA","COVID"
"181","2022/2023","Fredericton","NB","Deaths",1044,"CMA","Post-COVID"
"182","2023/2024","Fredericton","NB","Deaths",1076,"CMA","Post-COVID"
"183","2017/2018","Fredericton","NB","Immigrants",1262,"CMA","Pre-COVID"
"184","2018/2019","Fredericton","NB","Immigrants",1444,"CMA","Pre-COVID"
"185","2019/2020","Fredericton","NB","Immigrants",1086,"CMA","Pre-COVID"
"186","2020/2021","Fredericton","NB","Immigrants",548,"CMA","COVID"
"187","2021/2022","Fredericton","NB","Immigrants",1305,"CMA","COVID"
"188","2022/2023","Fredericton","NB","Immigrants",1787,"CMA","Post-COVID"
"189","2023/2024","Fredericton","NB","Immigrants",2118,"CMA","Post-COVID"
"190","2017/2018","Fredericton","NB","Emigrants",207,"CMA","Pre-COVID"
"191","2018/2019","Fredericton","NB","Emigrants",158,"CMA","Pre-COVID"
"192","2019/2020","Fredericton","NB","Emigrants",133,"CMA","Pre-COVID"
"193","2020/2021","Fredericton","NB","Emigrants",110,"CMA","COVID"
"194","2021/2022","Fredericton","NB","Emigrants",128,"CMA","COVID"
"195","2022/2023","Fredericton","NB","Emigrants",140,"CMA","Post-COVID"
"196","2023/2024","Fredericton","NB","Emigrants",144,"CMA","Post-COVID"
"197","2017/2018","Saguenay","QC","Births",1511,"CMA","Pre-COVID"
"198","2018/2019","Saguenay","QC","Births",1459,"CMA","Pre-COVID"
"199","2019/2020","Saguenay","QC","Births",1511,"CMA","Pre-COVID"
"200","2020/2021","Saguenay","QC","Births",1464,"CMA","COVID"
"201","2021/2022","Saguenay","QC","Births",1528,"CMA","COVID"
"202","2022/2023","Saguenay","QC","Births",1377,"CMA","Post-COVID"
"203","2023/2024","Saguenay","QC","Births",1357,"CMA","Post-COVID"
"204","2017/2018","Saguenay","QC","Deaths",1513,"CMA","Pre-COVID"
"205","2018/2019","Saguenay","QC","Deaths",1526,"CMA","Pre-COVID"
"206","2019/2020","Saguenay","QC","Deaths",1569,"CMA","Pre-COVID"
"207","2020/2021","Saguenay","QC","Deaths",1565,"CMA","COVID"
"208","2021/2022","Saguenay","QC","Deaths",1656,"CMA","COVID"
"209","2022/2023","Saguenay","QC","Deaths",1682,"CMA","Post-COVID"
"210","2023/2024","Saguenay","QC","Deaths",1744,"CMA","Post-COVID"
"211","2017/2018","Saguenay","QC","Immigrants",68,"CMA","Pre-COVID"
"212","2018/2019","Saguenay","QC","Immigrants",45,"CMA","Pre-COVID"
"213","2019/2020","Saguenay","QC","Immigrants",71,"CMA","Pre-COVID"
"214","2020/2021","Saguenay","QC","Immigrants",112,"CMA","COVID"
"215","2021/2022","Saguenay","QC","Immigrants",296,"CMA","COVID"
"216","2022/2023","Saguenay","QC","Immigrants",293,"CMA","Post-COVID"
"217","2023/2024","Saguenay","QC","Immigrants",268,"CMA","Post-COVID"
"218","2017/2018","Saguenay","QC","Emigrants",95,"CMA","Pre-COVID"
"219","2018/2019","Saguenay","QC","Emigrants",91,"CMA","Pre-COVID"
"220","2019/2020","Saguenay","QC","Emigrants",98,"CMA","Pre-COVID"
"221","2020/2021","Saguenay","QC","Emigrants",99,"CMA","COVID"
"222","2021/2022","Saguenay","QC","Emigrants",92,"CMA","COVID"
"223","2022/2023","Saguenay","QC","Emigrants",52,"CMA","Post-COVID"
"224","2023/2024","Saguenay","QC","Emigrants",55,"CMA","Post-COVID"
"225","2017/2018","Québec","QC","Births",7750,"CMA","Pre-COVID"
"226","2018/2019","Québec","QC","Births",7854,"CMA","Pre-COVID"
"227","2019/2020","Québec","QC","Births",7737,"CMA","Pre-COVID"
"228","2020/2021","Québec","QC","Births",7916,"CMA","COVID"
"229","2021/2022","Québec","QC","Births",8356,"CMA","COVID"
"230","2022/2023","Québec","QC","Births",7908,"CMA","Post-COVID"
"231","2023/2024","Québec","QC","Births",7844,"CMA","Post-COVID"
"232","2017/2018","Québec","QC","Deaths",6683,"CMA","Pre-COVID"
"233","2018/2019","Québec","QC","Deaths",6458,"CMA","Pre-COVID"
"234","2019/2020","Québec","QC","Deaths",6523,"CMA","Pre-COVID"
"235","2020/2021","Québec","QC","Deaths",7107,"CMA","COVID"
"236","2021/2022","Québec","QC","Deaths",6909,"CMA","COVID"
"237","2022/2023","Québec","QC","Deaths",7662,"CMA","Post-COVID"
"238","2023/2024","Québec","QC","Deaths",7662,"CMA","Post-COVID"
"239","2017/2018","Québec","QC","Immigrants",2366,"CMA","Pre-COVID"
"240","2018/2019","Québec","QC","Immigrants",2370,"CMA","Pre-COVID"
"241","2019/2020","Québec","QC","Immigrants",2241,"CMA","Pre-COVID"
"242","2020/2021","Québec","QC","Immigrants",2550,"CMA","COVID"
"243","2021/2022","Québec","QC","Immigrants",5901,"CMA","COVID"
"244","2022/2023","Québec","QC","Immigrants",6495,"CMA","Post-COVID"
"245","2023/2024","Québec","QC","Immigrants",7123,"CMA","Post-COVID"
"246","2017/2018","Québec","QC","Emigrants",940,"CMA","Pre-COVID"
"247","2018/2019","Québec","QC","Emigrants",848,"CMA","Pre-COVID"
"248","2019/2020","Québec","QC","Emigrants",583,"CMA","Pre-COVID"
"249","2020/2021","Québec","QC","Emigrants",660,"CMA","COVID"
"250","2021/2022","Québec","QC","Emigrants",815,"CMA","COVID"
"251","2022/2023","Québec","QC","Emigrants",982,"CMA","Post-COVID"
"252","2023/2024","Québec","QC","Emigrants",1015,"CMA","Post-COVID"
"253","2017/2018","Sherbrooke","QC","Births",2082,"CMA","Pre-COVID"
"254","2018/2019","Sherbrooke","QC","Births",2087,"CMA","Pre-COVID"
"255","2019/2020","Sherbrooke","QC","Births",2057,"CMA","Pre-COVID"
"256","2020/2021","Sherbrooke","QC","Births",2057,"CMA","COVID"
"257","2021/2022","Sherbrooke","QC","Births",2166,"CMA","COVID"
"258","2022/2023","Sherbrooke","QC","Births",1972,"CMA","Post-COVID"
"259","2023/2024","Sherbrooke","QC","Births",2017,"CMA","Post-COVID"
"260","2017/2018","Sherbrooke","QC","Deaths",1786,"CMA","Pre-COVID"
"261","2018/2019","Sherbrooke","QC","Deaths",1658,"CMA","Pre-COVID"
"262","2019/2020","Sherbrooke","QC","Deaths",1720,"CMA","Pre-COVID"
"263","2020/2021","Sherbrooke","QC","Deaths",1854,"CMA","COVID"
"264","2021/2022","Sherbrooke","QC","Deaths",2156,"CMA","COVID"
"265","2022/2023","Sherbrooke","QC","Deaths",2197,"CMA","Post-COVID"
"266","2023/2024","Sherbrooke","QC","Deaths",2220,"CMA","Post-COVID"
"267","2017/2018","Sherbrooke","QC","Immigrants",1129,"CMA","Pre-COVID"
"268","2018/2019","Sherbrooke","QC","Immigrants",864,"CMA","Pre-COVID"
"269","2019/2020","Sherbrooke","QC","Immigrants",516,"CMA","Pre-COVID"
"270","2020/2021","Sherbrooke","QC","Immigrants",507,"CMA","COVID"
"271","2021/2022","Sherbrooke","QC","Immigrants",1061,"CMA","COVID"
"272","2022/2023","Sherbrooke","QC","Immigrants",1288,"CMA","Post-COVID"
"273","2023/2024","Sherbrooke","QC","Immigrants",1092,"CMA","Post-COVID"
"274","2017/2018","Sherbrooke","QC","Emigrants",246,"CMA","Pre-COVID"
"275","2018/2019","Sherbrooke","QC","Emigrants",229,"CMA","Pre-COVID"
"276","2019/2020","Sherbrooke","QC","Emigrants",154,"CMA","Pre-COVID"
"277","2020/2021","Sherbrooke","QC","Emigrants",203,"CMA","COVID"
"278","2021/2022","Sherbrooke","QC","Emigrants",271,"CMA","COVID"
"279","2022/2023","Sherbrooke","QC","Emigrants",258,"CMA","Post-COVID"
"280","2023/2024","Sherbrooke","QC","Emigrants",267,"CMA","Post-COVID"
"281","2017/2018","Trois-Rivières","QC","Births",1330,"CMA","Pre-COVID"
"282","2018/2019","Trois-Rivières","QC","Births",1403,"CMA","Pre-COVID"
"283","2019/2020","Trois-Rivières","QC","Births",1451,"CMA","Pre-COVID"
"284","2020/2021","Trois-Rivières","QC","Births",1472,"CMA","COVID"
"285","2021/2022","Trois-Rivières","QC","Births",1445,"CMA","COVID"
"286","2022/2023","Trois-Rivières","QC","Births",1381,"CMA","Post-COVID"
"287","2023/2024","Trois-Rivières","QC","Births",1393,"CMA","Post-COVID"
"288","2017/2018","Trois-Rivières","QC","Deaths",1593,"CMA","Pre-COVID"
"289","2018/2019","Trois-Rivières","QC","Deaths",1691,"CMA","Pre-COVID"
"290","2019/2020","Trois-Rivières","QC","Deaths",1659,"CMA","Pre-COVID"
"291","2020/2021","Trois-Rivières","QC","Deaths",1646,"CMA","COVID"
"292","2021/2022","Trois-Rivières","QC","Deaths",1735,"CMA","COVID"
"293","2022/2023","Trois-Rivières","QC","Deaths",1931,"CMA","Post-COVID"
"294","2023/2024","Trois-Rivières","QC","Deaths",1873,"CMA","Post-COVID"
"295","2017/2018","Trois-Rivières","QC","Immigrants",234,"CMA","Pre-COVID"
"296","2018/2019","Trois-Rivières","QC","Immigrants",268,"CMA","Pre-COVID"
"297","2019/2020","Trois-Rivières","QC","Immigrants",239,"CMA","Pre-COVID"
"298","2020/2021","Trois-Rivières","QC","Immigrants",207,"CMA","COVID"
"299","2021/2022","Trois-Rivières","QC","Immigrants",529,"CMA","COVID"
"300","2022/2023","Trois-Rivières","QC","Immigrants",669,"CMA","Post-COVID"
"301","2023/2024","Trois-Rivières","QC","Immigrants",834,"CMA","Post-COVID"
"302","2017/2018","Trois-Rivières","QC","Emigrants",109,"CMA","Pre-COVID"
"303","2018/2019","Trois-Rivières","QC","Emigrants",88,"CMA","Pre-COVID"
"304","2019/2020","Trois-Rivières","QC","Emigrants",57,"CMA","Pre-COVID"
"305","2020/2021","Trois-Rivières","QC","Emigrants",48,"CMA","COVID"
"306","2021/2022","Trois-Rivières","QC","Emigrants",112,"CMA","COVID"
"307","2022/2023","Trois-Rivières","QC","Emigrants",68,"CMA","Post-COVID"
"308","2023/2024","Trois-Rivières","QC","Emigrants",70,"CMA","Post-COVID"
"309","2017/2018","Drummondville","QC","Births",953,"CMA","Pre-COVID"
"310","2018/2019","Drummondville","QC","Births",1026,"CMA","Pre-COVID"
"311","2019/2020","Drummondville","QC","Births",988,"CMA","Pre-COVID"
"312","2020/2021","Drummondville","QC","Births",989,"CMA","COVID"
"313","2021/2022","Drummondville","QC","Births",1046,"CMA","COVID"
"314","2022/2023","Drummondville","QC","Births",990,"CMA","Post-COVID"
"315","2023/2024","Drummondville","QC","Births",978,"CMA","Post-COVID"
"316","2017/2018","Drummondville","QC","Deaths",873,"CMA","Pre-COVID"
"317","2018/2019","Drummondville","QC","Deaths",842,"CMA","Pre-COVID"
"318","2019/2020","Drummondville","QC","Deaths",934,"CMA","Pre-COVID"
"319","2020/2021","Drummondville","QC","Deaths",925,"CMA","COVID"
"320","2021/2022","Drummondville","QC","Deaths",1067,"CMA","COVID"
"321","2022/2023","Drummondville","QC","Deaths",1078,"CMA","Post-COVID"
"322","2023/2024","Drummondville","QC","Deaths",1072,"CMA","Post-COVID"
"323","2017/2018","Drummondville","QC","Immigrants",149,"CMA","Pre-COVID"
"324","2018/2019","Drummondville","QC","Immigrants",185,"CMA","Pre-COVID"
"325","2019/2020","Drummondville","QC","Immigrants",120,"CMA","Pre-COVID"
"326","2020/2021","Drummondville","QC","Immigrants",90,"CMA","COVID"
"327","2021/2022","Drummondville","QC","Immigrants",347,"CMA","COVID"
"328","2022/2023","Drummondville","QC","Immigrants",502,"CMA","Post-COVID"
"329","2023/2024","Drummondville","QC","Immigrants",585,"CMA","Post-COVID"
"330","2017/2018","Drummondville","QC","Emigrants",47,"CMA","Pre-COVID"
"331","2018/2019","Drummondville","QC","Emigrants",37,"CMA","Pre-COVID"
"332","2019/2020","Drummondville","QC","Emigrants",50,"CMA","Pre-COVID"
"333","2020/2021","Drummondville","QC","Emigrants",34,"CMA","COVID"
"334","2021/2022","Drummondville","QC","Emigrants",41,"CMA","COVID"
"335","2022/2023","Drummondville","QC","Emigrants",31,"CMA","Post-COVID"
"336","2023/2024","Drummondville","QC","Emigrants",32,"CMA","Post-COVID"
"337","2017/2018","Montréal","QC","Births",44912,"CMA","Pre-COVID"
"338","2018/2019","Montréal","QC","Births",44443,"CMA","Pre-COVID"
"339","2019/2020","Montréal","QC","Births",44911,"CMA","Pre-COVID"
"340","2020/2021","Montréal","QC","Births",42256,"CMA","COVID"
"341","2021/2022","Montréal","QC","Births",42515,"CMA","COVID"
"342","2022/2023","Montréal","QC","Births",40926,"CMA","Post-COVID"
"343","2023/2024","Montréal","QC","Births",40542,"CMA","Post-COVID"
"344","2017/2018","Montréal","QC","Deaths",30829,"CMA","Pre-COVID"
"345","2018/2019","Montréal","QC","Deaths",30584,"CMA","Pre-COVID"
"346","2019/2020","Montréal","QC","Deaths",35359,"CMA","Pre-COVID"
"347","2020/2021","Montréal","QC","Deaths",30644,"CMA","COVID"
"348","2021/2022","Montréal","QC","Deaths",31758,"CMA","COVID"
"349","2022/2023","Montréal","QC","Deaths",34319,"CMA","Post-COVID"
"350","2023/2024","Montréal","QC","Deaths",34801,"CMA","Post-COVID"
"351","2017/2018","Montréal","QC","Immigrants",40656,"CMA","Pre-COVID"
"352","2018/2019","Montréal","QC","Immigrants",37661,"CMA","Pre-COVID"
"353","2019/2020","Montréal","QC","Immigrants",27665,"CMA","Pre-COVID"
"354","2020/2021","Montréal","QC","Immigrants",27713,"CMA","COVID"
"355","2021/2022","Montréal","QC","Immigrants",49520,"CMA","COVID"
"356","2022/2023","Montréal","QC","Immigrants",49138,"CMA","Post-COVID"
"357","2023/2024","Montréal","QC","Immigrants",39210,"CMA","Post-COVID"
"358","2017/2018","Montréal","QC","Emigrants",10844,"CMA","Pre-COVID"
"359","2018/2019","Montréal","QC","Emigrants",10618,"CMA","Pre-COVID"
"360","2019/2020","Montréal","QC","Emigrants",7985,"CMA","Pre-COVID"
"361","2020/2021","Montréal","QC","Emigrants",7703,"CMA","COVID"
